combination,games,accuracy,correct
"Delta>=30",5424,0.5614,3045
"Delta>=25",10510,0.5598,5883
"Delta>=25 AND LaneAdv>=10",3728,0.5574,2078
"Delta>=25 AND NW20>=2000",5142,0.5513,2835
"Delta>=20",19141,0.5508,10543
"Delta>=20 AND NW10>=500",10735,0.5476,5878
"Delta>=20 AND LaneAdv>=10",6640,0.5468,3631
"Delta>=20 AND NW20>=2000",9065,0.5461,4950
"Delta>=25 AND LaneAdv>=10 AND NW20>=2000",2216,0.5420,1201
"Delta>=15 AND LaneAdv>=8",14368,0.5384,7736
"Delta>=20 AND LaneAdv>=10 AND NW20>=2000",3802,0.5384,2047
"Delta>=15 AND NW20>=1500",18557,0.5359,9944
"Delta>=20 OR LaneAdv>=10",46804,0.5279,24707
"Delta>=20 OR LaneAdv>=12 OR NW20>=2500",59475,0.5240,31162
"Delta>=35 OR LaneAdv>=15",20017,0.5171,10351
