metric,threshold,games,accuracy
delta,5,71970,0.5343
delta,10,43812,0.5453
delta,15,23786,0.5541
delta,20,11497,0.5692
delta,25,4891,0.5790
delta,30,1925,0.5777
delta,35,712,0.5730
delta,40,237,0.5992
delta,45,102,0.6373
delta,50,34,0.6176
kda,1,39583,0.5023
kda,2,7969,0.5051
kda,3,806,0.4727
kda,4,34,0.5294
kda,5,0,0.0000
kda,6,0,0.0000
d2pt,500,21653,0.4936
d2pt,1000,16386,0.4878
d2pt,1500,16327,0.4877
d2pt,2000,16325,0.4877
d2pt,2500,15889,0.4861
d2pt,3000,7075,0.4903
d2pt,3500,364,0.4615
d2pt,4000,182,0.4341
d2pt,4500,182,0.4341
d2pt,5000,182,0.4341
nw10,200,76358,0.5140
nw10,400,51228,0.5142
nw10,600,33436,0.5135
nw10,800,22544,0.5093
nw10,1000,16280,0.5060
nw10,1200,12444,0.5070
nw10,1400,9511,0.5111
nw10,1600,6994,0.5152
nw10,1800,4861,0.5112
nw10,2000,3217,0.5011
nw10,2200,2130,0.5038
nw10,2400,1551,0.5035
nw10,2600,1180,0.5017
nw10,2800,988,0.4889
nw10,3000,885,0.4836
nw10,3200,815,0.4834
nw10,3400,763,0.4875
nw10,3600,685,0.4949
nw10,3800,589,0.5059
nw10,4000,487,0.5154
nw10,4200,367,0.5095
nw10,4400,250,0.4920
nw10,4600,146,0.5205
nw10,4800,81,0.5309
nw10,5000,45,0.4889
nw20,500,83154,0.5142
nw20,1000,62453,0.5154
nw20,1500,45069,0.5169
nw20,2000,31720,0.5176
nw20,2500,22236,0.5173
nw20,3000,15627,0.5160
nw20,3500,11138,0.5171
nw20,4000,8088,0.5199
nw20,4500,5811,0.5285
nw20,5000,4230,0.5201
nw20,5500,3023,0.5157
nw20,6000,2230,0.5108
nw20,6500,1683,0.5134
nw20,7000,1325,0.5026
nw20,7500,1104,0.4991
nw20,8000,932,0.4871
nw20,8500,782,0.4885
nw20,9000,651,0.4885
nw20,9500,534,0.4925
nw20,10000,416,0.4976
laneadv,2,84992,0.5102
laneadv,4,65099,0.5086
laneadv,6,47774,0.5097
laneadv,8,33338,0.5106
laneadv,10,22254,0.5114
laneadv,12,14297,0.5100
laneadv,14,8768,0.5102
laneadv,16,5363,0.5176
laneadv,18,3307,0.5116
laneadv,20,2082,0.5101
