metric,threshold,games,accuracy
kda_team,1,211856,0.5000
kda_team,2,211856,0.5000
kda_team,3,211856,0.5000
kda_team,4,211856,0.5000
kda_team,5,211856,0.5000
kda_team,6,211856,0.5000
d2pt_team,500,211856,0.5000
d2pt_team,1000,211856,0.5000
d2pt_team,1500,211856,0.5000
d2pt_team,2000,211856,0.5000
d2pt_team,2500,211856,0.5000
d2pt_team,3000,211856,0.5000
d2pt_team,3500,211856,0.5000
d2pt_team,4000,211856,0.5000
d2pt_team,4500,211856,0.5000
d2pt_team,5000,211856,0.5000
nw10_team,200,211856,0.5000
nw10_team,400,211856,0.5000
nw10_team,600,211856,0.5000
nw10_team,800,211856,0.5000
nw10_team,1000,211856,0.5000
nw10_team,1200,211856,0.5000
nw10_team,1400,211856,0.5000
nw10_team,1600,211856,0.5000
nw10_team,1800,211856,0.5000
nw10_team,2000,211856,0.5000
nw10_team,2200,211856,0.5000
nw10_team,2400,211856,0.5000
nw10_team,2600,211856,0.5000
nw10_team,2800,211856,0.5000
nw10_team,3000,211856,0.5000
nw10_team,3200,211856,0.5000
nw10_team,3400,211856,0.5000
nw10_team,3600,211856,0.5000
nw10_team,3800,211856,0.5000
nw10_team,4000,211856,0.5000
nw10_team,4200,211856,0.5000
nw10_team,4400,211856,0.5000
nw10_team,4600,211856,0.5000
nw10_team,4800,211856,0.5000
nw10_team,5000,211856,0.5000
nw20_team,500,211856,0.5000
nw20_team,1000,211856,0.5000
nw20_team,1500,211856,0.5000
nw20_team,2000,211856,0.5000
nw20_team,2500,211856,0.5000
nw20_team,3000,211856,0.5000
nw20_team,3500,211856,0.5000
nw20_team,4000,211856,0.5000
nw20_team,4500,211856,0.5000
nw20_team,5000,211856,0.5000
nw20_team,5500,211856,0.5000
nw20_team,6000,211856,0.5000
nw20_team,6500,211856,0.5000
nw20_team,7000,211856,0.5000
nw20_team,7500,211856,0.5000
nw20_team,8000,211856,0.5000
nw20_team,8500,211856,0.5000
nw20_team,9000,211856,0.5000
nw20_team,9500,211856,0.5000
nw20_team,10000,211856,0.5000
laneadv_team,2,69935,0.5049
laneadv_team,4,45258,0.5088
laneadv_team,6,26796,0.5072
laneadv_team,8,14697,0.5133
laneadv_team,10,7658,0.5084
laneadv_team,12,3828,0.5057
laneadv_team,14,1943,0.5152
laneadv_team,16,1001,0.5085
laneadv_team,18,548,0.4964
laneadv_team,20,312,0.5064
